ID,Title,Author,Subject,Publisher,Year Of Publication,ISBN,Keywords,Copies
45,Design Today- Ishue- March 2010,Not Known,,Not Known,March 2010,,Issue Focus Green Architecture,1
46,Jawaharlal Nehru National Urban Renewal Mission- City Development Plan,"Ahmedabad Municipal Corporation, Ahmedabad Urban Development Authority",,"Ahmedabad Municipal Corporation, Ahmedabad Urban Development Authority",2006-12,,"Development, Ahmedabad",2
47,Rising From The Ashes,"Mary B. anderson, Peter J. Woodrow",,"Westview Press, USESCO",1989,9231026186/0813378281,,1
48,Government Orders Related To Relif & Rehabilitation Of Tsunami Affected Areas & Communities - Vol 2,NCRC,,NCRC,December 2005,,"A Compilation of Government Orders As On December, 2005",1
49,1857 The Great March Meerut To Delhi,Madhukar Upadhyay,,Directorate of Advertising and Visual Publicity,Jan 2008,,"1857, Meerut",1
50,Building Dreams In Mud,Centre of Science For Villages Wardha (India),,Centre of Science For Villages Wardha (India),March 1998,,Low Cost Housing and Sanitation,1
51,Guidelines For Hospital Emergency Preparedness Planning,"GoI ,UNDP",,"GoI ,UNDP",,,Disaster,1
52,Csv At A Glance,Sameer Kurvey,,Centre of Science For Villages,2008,,,1
53,Hunnarshala Foundation Annual Report 2008-09,Hunnarshala,,Hunnarshala,2008-09,,Report,2
54,Building With Bamboob,National Mission On Bamboo Application (Nmba),,National Mission On Bamboo Application (Nmba),2004,,"Building, Bamboo,Construction",1
55,The Bamboo Book,National Mission On Bamboo Application (Nmba),,National Mission On Bamboo Application (Nmba),2004,,"14 Selected Indian Species, Bamboo",1
56,Bamboo Flooring,National Mission On Bamboo Application (Nmba),,National Mission On Bamboo Application (Nmba),2004,,Bamboo,1
57,Bamboo Furniture Components,National Mission On Bamboo Application (Nmba),,National Mission On Bamboo Application (Nmba),2004,,,1
58,Processing Bamboo Shoots,National Mission On Bamboo Application (Nmba),,National Mission On Bamboo Application (Nmba),2004,,Bamboo,1
59,Housing & Urbanisation,Charles Correa,,Urban Design Research Institute,1999,8190112805,"Housing,",1
60,Indian Anthropometric Dimensions,Debkumar Chakrabarti,,National Institute of Design,1997,81 86199 15 0,Anthropometric Dimensions,1
61,Design The Indian Context,H. Kumar Vuas,,National Institute of Design,2000,81 86199 38 1," Historical Rationale ,Indian Design Idiom",1
62,The Good Thebad & The Ugly,Rod Hackney,,Frederick Muller,1972,0 09 173939 X,Cities In Crisis,1
63,Typology And Mapping Of Housing Zones,Minakshi Jain,,NBO Ministry of Urban Development,1992,,Costal Region of Gujarat,1
64,Construction Technology Volume 1,R.Chudley,,English Language Book Society,1973,0 582 40812 1,Construction,1
65,Construction Technology Volume 2,R.Chudley,,English Language Book Society,1974,0 582 40813 x,Construction,1
66,Construction Technology Volume 3,R.Chudley,,English Language Book Society,1976,0 582 40814 8,Construction,1
67,Construction Technology Volume 4,R.Chudley,,English Language Book Society,1977,0 582 40815 6,Construction,1
68,Ancavati,"Banwari, Asha Vohra",,Shri Vinayaka Publication-Delhi,1992,,Indian Approach Environment,1
69,Analysis Of Structures,"V.N.Vazirani, M.M.Ratwani",,Khanna Publishers,1968,,"Analysis Design, Details of Structures",1
70,Advanced Strength Of Materials Problems,Prof.A.G.Patwardhan,,Pune Vidyarthi Griha Prakashan-Poona,1971,,Strength,1
71,Building Construction,Sushil Kumar,,Standard Publishers Distributors,1982,,"Building, Construction",2
72,Mechanics Of Structures Vol-2,S.B.Junnarkar,,Vivek Publication,1968,,Mechine,1
73,Mechanics Of Sructures Vol-1,S.B.Junnarkar,,Charotar Book Stall,1952,,Mechine,1
74,Key Buildings Of The 20th Century Vol-1,David Dunsrer,,The Architectural Press-London,1985,0851398944,Houses 1900-1944,1
75,Moving Technology,Pragya Verma,,Design & Print,Aug-1989,,,1
76,Compressed Earth Blocks Production And Masonry,Hubert Guillaud,,Craterre-Eag,,,"A Training Guide For Masons, Soil, Brick",2
77,Appropriate Building Systems Construction Manual,Alka Palrecha,,"Development Alternatives, New Delhi",,,"Building, Construction",1
78,Building Construction Matric Vol-1,W.B.Mckay,,Orient Longman,1985,,"Brick , Construction",2
79,Building Construction Matric Vol-2,W.B.Mckay,,Orient Longman,1985,,"Brick , Construction",2
80,Building Construction Matric Vol-3,W.B.Mckay,,Orient Longman,1985,,Building Construction,2
81,Building Construction Matric Vol-4,J.K.Mckay,,Orient Longman,1985,,"Brick , Construction",2
82,Participatory Development,"Ponna Wignaraja, Akmal Hussain, Harsh Sethi, Ganeshan Wignaraja",,Unitednations University Press Oxford University Press,1991,0 19 577415 9,Learning From South Asia,1
83,Little Oxford English Dictionary,Oxford University,,Oxford University,1930,0 19 566424 8,Dictionary,1
84,Planet Of Slums,Mike Davis,,Verso-London,2006,978 1 84467 160 1,"Slums,",1
85,Slumming India,Geeta Dewan Verma,,Penguin Books,2002,,A Chronicle of Slums and Their Saviours,1
86,Building With Stabilized Mud,K.S.Jagadish,,I.K.International,2007,978 81 89866 21 1,Mud Construction,2
87,The Corporation,Joel Bakan,,Free Press,2004,0 7432 4744 2," Profit ,Power",1
88,Enabling Shelter Strategies,Un-Habitat,,Un-Habitat,2006,92 1 131767 3,Decades of Implementation,1
89,Transformation Of City: A Study Of Influecing Forces And Its Manifestation In The Built Form,Sneha Aiyer,,Cept University,Aug-2011,,Earthquake,1
90,Vietnamese Water Puppetry,Pham Hoang Hai,,VNA Publishing House,,8 935069 200998,"Water Puppetry, Vietnamese",1
91,Village Architecture In Hanoi: Patterns And Changes,Dinh Quoc Phuong,,Science and Technics Publishing House,2008,978 604 67 0000 5,"Case Study of Bat Trang,A Pottery -Making Village",1
92,Community Center In South Africa,Holcim Foundation,,Holcim Foundation,,9783726600822,"Community, South Africa, Construction",1
93,Proposal For Rural Housing And Development Programme-Ahmedabad District,ASAG,,ASAG,May-1977,,"Rural, Housing",1
94,Manual For Supervisors And Project Staff- Post Tsunami Reconstruction,Benny Kuriakose,,South Indian Federation of Fishermen Societies,Aug 2006,,"Tsunami, Reconstruction",1
95,"Laurie Baker Life, Work, Writings",Gautam Bhatia,,"Viking, HUDCO",,,,1
96,Indian Practical Civil Engineers' Handbook,P.N.Khanna,,Engineers' Publishers,1995,,"Engineers, Indian",1
97,The Urban Housing Manual,"Geoffrey Payne, Michael Majale",,Earthscan,2004,1844071480,"Work For The Poor, Housing",1
98,Manual Of Tropical Housing And Building- Climatic Design Part-1,"O.H.Koenigsberger, T.G.Ingersoll, Alan Mayhew, S.V.Szokolay",,Orient Longman Ltd.,1975,,"Housing, Building",1
99,Engineering Materials,Prof.G.J.Kulkarni,,Star Book Service,1980,,Engineering,1
100,Strengthening Public Accountability,Samuel Paul,,Public Affairs Centre-Banglore,1995,,New Approaches and Mechanisms,1
101,Field Shake Test Program- A Sure Way Of Confidence Building In Quake Resistant Building Technology,"Rajendra Desai, K.S.Jagdish",,Earthquake Safety Initiative,Aug-1999,,Earthquake,1
102,Kosi Calamity : Rehabilitation And Reconstruction Policy,Gove. of Bihar Department of Planning & Development,,Gove. of Bihar Department of Planning & Development,2008,,"Kosi, Reconstruction, Rehabilitation",1
103,Lets Talk About Waste,Architecture & Development,,Architecture & Development,,,Waste,1
104,Disaster Management In India - A Status Report,Gove. of India,,Gove. of India,Aug 2004,,"Disaster, India, Management",1
105,From Budapest To Bishkek: Mapping The Root Of Poverty Housing,Jennifer Duncan,,Habitat For Humanity,,,"Conclusions, Trends, Housing, Europe",1
106,An Experience In Appropriate Technology,"Rajendra Desai, Rupal Desai",,"Rajendra Desai, Rupal Desai",March 1998,,"Sustainable Technologies, Architectural",1
107,Rebuilding After Earthquakes - Lessons From Planners,"George G. Mader, Martha Blair Tyler",,William Spangle & Associates,1990,,"Earthquakes, Rebuilding",1
108,Participatory Planning For Disaster Mitigation,Focus Humanitarian Assistance India,,Focus Humanitarian Assistance India,,,"Disaster, andhrapradesh",1
109,Green Accounting For Indian States Project Monograph-1,"Haripriya Gundimeda, Sanjeev Sanyal, Rajiv Sinha, Pavan Sukhdev",,The Energy and Resources Institute,2005,,Timber Carbon ,1
110,The Timeless Way Of Building,Christopher Alexander,,Oxford University Press,1979,0 19 502248 3,Building,1
111,The Penguin Dictionary Of Architecture,"John Fleming, Hugh Honour, Nikolaus Pevsner",,Penguin Books,1966,,Architecture,1
112,Advances In Building Materials And Construction,"Mohan Rai, M.P.Jagdish",,Central Building Research Institute,1986,,"Building, Construction",1
113,A Pattern Language,Christopher Alexander,,Oxford University Press,1977,,,1
114,Mud,Laurie Baker's,,Costford,1988,,Mud,2
115,Brick Work,Laurie Baker's,,Costford,1988,,Brick,2
116,"Site, Space And Structure",Kim W.todd,,Van Nostrand Reinhold Company- New York,1985,0442283199,"Space, Structure",1
117,"Tsunami Housnig Reconstruction Program Nagapattinam, T.N.",Skat Foundation,,Skat Foundation,Oct 2008,,Social Housing,1
118,Water Water,Architecture & Development,,Architecture & Development,,,An Activity Book For Children,1
119,"You, Me And A Disaster",Architecture & Development,,Architecture & Development,,,An Activity Book For Children,1
120,Seismic Studies On Small Scale Models Of Adobe Houses,"E.Leroy tolles Iii, Helmut Krawinkler",,The John A. Blume Earthquake Engineering Center,Oct.1990,,Engineering,1
121,Adobe Documents-1,Not Known,,Not Known,,,,1
122,Adobe Documents-2,Not Known,,Not Known,,,,1
123,The Seismic Retrofit Of Historic Buildings Conference Workbook 1991,David W. Look,,Western Region of The National Park Service,1991,,Building,1
124,Venubharti,Vinod Kaley,,Aproop Nirman,,,Bamboo,1
125,Development Of A Design And Technology Package For Cost Effective Housing In Gujarat,Taru- New Delhi,,Taru- New Delhi,Sept.97,,"Development, Houses, Gujarat",1
126,Construction Of Stone Masonry Code Of Practice/ Sesmic Evaluation Repair And Strengthening Of Masonry Building-Guidelines/ Improving Earthquake Resistance Of Earthen Building-Guidelines/ Improving Earthquake Resistance Of Low Strength Masonry Building-Guide,Bureau of Indian Standards,,Bureau of Indian Standards,1992/2008/1993/1999,,Rubber Stone Masonry ,1
127,Aao Banaye Surakshit Ghar,SEEDS India,,SEEDS India,,,"House, Construction",1
128,Santal- Jivan & Sanskruti,Satyendrakumar Sinh,,Agreriyan Assistans Association- Dumka,1990,,,1
129,India,Lonely Planet Publications,,Lonely Planet Publications,1981,,Subcontinent,1
130,Disaster Risk Management- Document Series,"UNDP,NDMA",,"UNDP,NDMA",Jan 09,,Disaster,1
131,Consolidate Learning From The Salinity Ingress Prevention Measures Undertaken In The Coastal Area Of Gujarat,"Frank Van Weert, Jeroen Posthumus, Martha Faneca Sanchez",,Ambuja Cement,Nov 09,,"Coastal, Gujarat",2
132,Construction Reference Book 2009,The Gujarat Institute of Civil Engineers & Architects,,The Gujarat Institute of Civil Engineers & Architects,2009,,,1
133,Hand Book Of Professional Document,Council of Architecture- New Delhi,,Council of Architecture- New Delhi,1998,,"Architecture, Hand Book",1
134,Guidelines On How To Undertake A National Campaign For Secure Tenure,Un-Habitat,,Un-Habitat,2003,9211316812,,1
135,Global Campaign For Secure Tenure,Un-Habitat,,Un-Habitat,2004,92 1 131716 9,"Poor, Shelter",1
136,Urbaninfo,Un-Habitat,,Un-Habitat,,,Urbaninfo Database,1
137,Financing Urban Shelter - Global Report On Human Settlements 2005,Un-Habitat,,Un-Habitat,2005,92 1 131756 8,"Human, Urban Development",1
138,How The Poor Build Houses In Rural Gujarat,"Rajendra Desai,  Rupal Desai",,NCPDP,June 1992,,"Poor Build, Houses, Traditional Construction",1
139,Pahadiya-Jivan- Sanskruti & Uthan,Satyendrakumar Sinh,,Agreriyan Assistans Association- Dumka,1998,,,1
140,Building Technology- Leaflets,United Nations,,United Nations,,,"Building, Construction",1
141,How The Other Half Builds,Vikram Bhatt,,Mcgill University,1984,,Building,1
142,Gem Basic Building Taxonomy,"Svetlana Brzev, Charles, andrew Charleson, Kishor Jaiswal",,GEM,Mar 2012,,Building Taxonomy,1
143,Training Modul For Non-Governmental Organisations On Disaster Risk Management,GOI-UNDP,,GOI-UNDP,2002-07,,Disaster,1
144,Bamboo And Cane Crafts Of Northeast India,"M.P.Rajan, Nilam Iyer, Ghanshyam Pandya",,National Institute of Design,1986,,Bamboo,1
145,Working With The Urban Poor A Manual For Trainers,National Institute of Urban Affairs,,National Institute of Urban Affairs,1996,,"Poor, Trainers,Development",1
146,"Network Paper- Volume 2004, Issue 48",Steve Collins,,HPN,Nov'04,,,1
147,"Network Paper- Volume 2004, Issue 49","Courtenay Cabot Venton, Paul Venton",,HPN,Nov'04,,,1
148,"Network Paper- Volume 2005, Issue 50","Degan Ali, Fanta toure, Tilleke Kiewied",,HPN,March 2005,,,1
149,"Network Paper- Volume 2005, Issue 53 Protecting And Assisting Older People In Emergencies",Jo Wells,,HPN,Dec'05,,,1
150,"Network Paper- Volume 2006, Issue 55 Understanding And Addressing Staff Turnover In Humanitarian Agencies","Devid Loquercio, Ben Emmens, Mark Hammersley",,HPN,June 2006,,,1
151,"Network Paper- Volume 2007, Issue 58",Austen Davis,,HPN,March 2007,,,2
152,"Network Paper- Volume 2007, Issue 59",Richard Choularton,,HPN,March 2007,,,2
153,"Network Paper- Volume 2007, Issue 60 Mobile Health Units In Emergency Operations","Stephane Du Mortier, Rudi Coninx",,HPN,June 2007,,,1
154,"Network Paper- Volume 2007, Issue 61 Public Health In Crisisaffected Populations","Francesco Checchi, Michelle Gayer",,HPN,Dec'2007,,,1
155,"Network Paper- Volume 2008, Issue 63 Measuring The Effectiveness Of Supplementary Feeding Programmes In Emergencies","Carlos Navarro Colorado, Frances Mason, Jeremy Shoham",,HPN,Sept'08,,,1
156,"Network Paper- Volume 2009, Issue 66 Solving The Risk Equation",Tanya Boudreau,,HPN,June 2009,,,1
157,Participatory Content Creation For Development,"Jerry Watkins, Jo Tacchi",,United Nations Educational Scientific and Cultural Organization,Feb 2008,9788189218225,Finding Voice Project,1
158,Alice In Bhuleshwar,Kaiwan Mehta,,Yoda Press,2009,,,1
159,Swept Off The Map,"Kalyani Menon Sen , Gautam Bhan",,"Yoda Press, Jagori",2008,9788190618618,Surviving Eviction and Resettlement. Delhi,1
160,Power Of Creativity,L.B.Associates,,L.B.Associates,Dec 2009,,"Heritage, Water, Management, Development",1
161,Don't Tear It Down,Randolph Langenbach,,UNESCO,2009,978 81 89218 20 1,"Earthquake, Architecture, Kashmir",1
162,Socio-Economic Surveys Of Three Villages In Andhra Pradesh,"Vikas Rawal, V.K. Ramachandran, Madhura Swaminathan",,Tulika Books,2010,9788189487676,"andhra Pradesh, Socio-Economic Surveys",1
163,Exploring Masculinity,Kamla Bhasin,,Women Unlimited,2004,,,1
164,What Is Patriarchy?,Kamla Bhasin,,Women Unlimited,2004,,,1
165,Bhopal Gas Tragedy,Suroopa Mukherjee,,Tulika,2002,, Disaster ,1
166,Chawl Improvement / Redevelopment Feasibility Studies,Ahmedabad Study Action Group,,Ahmedabad Study Action Group,,,"Chawl, Feasibility Studies",1
167,Preservation Of Bamboo For Structural Purposes- Code Of Practice,Bureau of Indian Standards,,Bureau of Indian Standards,2006,,Bamboo,1
168,Wood - Bamboo Composite Technologies,K.R.Datye,,Not Known,,,"Bamboo, Wood,",1
169,Bamboo As A Building Material,F.A.Mcclure,,Department of Housing and Urban Development,May 1953,,"Bamboo, Building, Construction",1
170,Bamboo Panel Boards- A State Of The Art Review,International Network For Bamboo and Ratttan,,International Network For Bamboo and Ratttan,1999,,"Bamboo,  Art Review",1
171,The Book Of Bamboo,David Farrelly,,Thames and Hudson,1984,,"Bamboo,",1
172,Bamboo In Construction,"D L Jayanetti, P R Follett",,Trada Technology Limited,1998,,"Bamboo, Construction",1
173,Bamboo In Building Structur,Jules J A Janssen,,Not Known,,,"Bamboo, Building",1
174,Durability And Preservation,Not Known,,Not Known,,,Bamboo,1
175,Report Of The High Level Committee To Examine The Problems Of Salinity Ingress - Along Coastal Areas Of Saurashtra,"Public Works Department, Sachivalaya, Gandhinagar",,"Public Works Department, Sachivalaya, Gandhinagar",Oct-1978,,"Coastal, Soail, Saurashtra, Salinity Ingress",1
176,A Report On Ground Water Status And Efficacy Of S.I.P.Schemes Between Una-Madhavpur Reach,Ground Water Division (S.I.P) Rajkot,,Ground Water Division (S.I.P) Rajkot,May-2000,,"Ground Water, Rajkot",1
177,Doing More For Those Made Homeless By Natural Disasters,Roy Gilbert,,The World Bank,May 2001,,"Disaster,",1
178,Project Proposal For Slum Upgrading For The City Of Ahmedabad Vol-1,Ahmedabad Municipal Corporation,,Ahmedabad Municipal Corporation,Nov. 1984,,"Slum, Ahmedabad Municipal",1
179,A Report On Ground Water Status And Efficacy Of S.I.P.Schemes Between Una-Madhavpur Reach,Ground Water Division (S.I.P) Rajkot,,Ground Water Division (S.I.P) Rajkot,May 2002,,"Ground Water, Rajkot",1
180,A Report On Ground Water Status And Efficacy Of S.I.P.Schemes Between Una-Madhavpur Reach,Ground Water Division (S.I.P) Rajkot,,Ground Water Division (S.I.P) Rajkot,May 2003,,"Ground Water, Rajkot",1
181,Shelter And Settlements,Ahmedabad Study Action Group,,Ahmedabad Study Action Group,2000,,"Housing, Construction",1
182,Reducing Disaster Risk- A Challenge For Development,UNDP,,UNDP,2004,92 1 126160 0,"Disaster, Development",1
183,"Socio Technical Assessment Of Post Tsunami Reconstruction, Tamilnadu",Vivek Rawal,,"Hunnarshala , NCRC",2006,,"Tsunami, Tamilnadu",1
184,Rebuilding Rural Kutchchh- Rehabilitation Through Partnering With People,Vastu-Shilpa Foundation,,Vastu-Shilpa Foundation,,,"Building,",1
185,Women Lead Tsunami Recovery: Sneha Evaluation Oct-2007 South India,"Mihir Bhatt, Ranjani Krishnamurthy",,Not Known,2007,,"Tsunami, South India",1
186,Housing For Tsunami Affected Regions/People,National Institute of Rural Development,,National Institute of Rural Development,2005,,"Housing, Tsunami",1
187,Studies On Understanding Of Salinity Pattern And Establishment Of Monitoring Network In Villages Of Netravati Watershed In Managrol Taluka Dist. Junagadh,"AKRSP ,Arid Communities and Technologies - Bhuj",,"AKRSP ,Arid Communities and Technologies - Bhuj",March 2008,,"Water,",1
188,New Public Management,Pradip N Khandwalla,,Ahmedabad Management Association,2010,,Civil,1
189,Earth Architecture,S.K.Sharma,,HUDCO,Feb 1989,,Architecture,1
190,Building Local Capacities For Disaster Response And Risk Reduction,Annie George,,Bed Roc-Oxfam,2009,,"Disaster Response, Tsunami",1
191,Tiding Over Tsunami Part-2,Government of Tamilnadu,,Government of Tamilnadu,Oct 2008,,"Disaster, Tsunami, South India",1
192,Network Paper,David A Bradt,,HPN,Dec 2009,,Network Paper,1
193,Kosi Floods 2008 - How We Coped! What We Need?,UNDP,,UNDP,Jan 2009,,Kosi Floods,1
194,Bhukamp Pratirodhi Confaind Bhavan Nirman,Svetlana Brzev,,"NICEE, DMMC",July 2012,9 789380 903026,Earthquake,1
195,Vulnerability Atlas Of India 1997,BMTPC,,BMTPC,1999,,"Atlas, India, Maps",1
196,Manual For Restoration And Retrofitting Of Building In Uttarakhand And Himachal Pradesh,"Rupal Desai, Rajendra Desai",,"BMTPC, NCPDP",2010,,"Building, Uttarakhand, H.P. Houses",1
197,"Seismic Evaluation, Repair And Strengthening Of Masonry Buildings-Guidelines",Bureau of Indian Standard,,Bureau of Indian Standard,2008,,*,1
198,Civil Engagement For Urban Development,"Arun Kumar, Alice Morris",,Unnati,2009,,,1
199,Housing For The Urban Poor,Unnati,,Unnati,2009,,"Slum Development, Gujarat, Housing",1
200,People's Voice - Poor Under The Liberalised Economy,"Alice Morris, Binoy Acharya",,Unnati,2001,,"Structural, People's Voice",1
201,The Khasis And Their Natural Environment,Dr. Barnes L. Mawrie Sdb,,Vendrame Institute Publications,2009,81854080043,"Ecological Heritage, Creation",1
202,Building With Earth,Gernot Minke,,Birkhauser,2006,139783764374778,"Building, Earth, Sustainable Architecture",2
203,Small Scale Production Of Lime For Building,John Spiropoulos,,Vieweg & Sohn,1985,3528020164,Developing,1
204,"Principles And Practices Of Grading, Drainage And Road Alignment",Richard K Untermann,,"Reston Publishing Company,Inc",1978,,"Grading Drainage, Road Alignment",1
205,Site Planing For Cluster Housing,"Richard Untermann, Robert Small",,Not Known,1991,,"Housing, Planing, Architeture",1
206,Building A Hazard-Resistant House:A Common Man's Guide,"Rupal Desai, Rajendra Desai",,KW Publisher Pvt Ltd.,2010,81 87966 81 5,,1
207,Technical Building Damage Appraisal,Taru Research & Information Network,,Taru Research & Information Network,Oct-1998,,"Building, Cyclone, Gujarat",1
208,Professional Practice,Roshan Namavati,,Lakhani Book Depot,1988,,"Estimating, Valuation",1
209,Participatory Appraisal Of Natural Resources,Neela Mukherjee,,Concept Publishing Co.- New Delhi,1995,817022618x,Studies In Rural Participation,1
210,Profiling Varying Terrains- Case Studies From Different Eco Zones,South- South Solidarity,,South- South Solidarity,2000,,"South, Flood,",1
211,Displacement Juggernaut - Case Studies From States,Malavika Vartak,,Forum- Delhi,June 2008,,,1
212,Bamboo In Dandakaranya,"Vinod Kaley, Soham Pandya, Mohan Kumar, Sushil Kude, Kishor Mathurkar, Golak Khandual, Vaibhav Kaley",,PPST Foundation,1993,,"Bamboo,",1
213,Better School Buildings With Minimum Resources,Gove. of andhra Pradesh,,Gove. of andhra Pradesh,,,"A.P. Primary Edu. Project Phase Ii, Buildings,",1
214,Building Construction,S.C.Rangwala,,Charotar Publishing House- Anand,1983,,"Building, Counstruction",1
215,Voluntary Agencies And Housing,Madhav Achwal,,UNICEF,1979,,"Housing,",1
